node_id,x_m,y_m,z_m,local_length_m,local_width_m
31834,4918.5613092977,4987.0485654580,530.0000000000,-20.0000000000,-80.0000000000
31835,4920.3044241527,5006.9724594198,530.0000000000,-0.0000000000,-80.0000000000
31836,4922.0475390076,5026.8963533816,530.0000000000,20.0000000000,-80.0000000000
31837,4923.7906538626,5046.8202473435,530.0000000000,40.0000000000,-80.0000000000
31838,4925.5337687175,5066.7441413053,530.0000000000,60.0000000000,-80.0000000000
31839,4927.2768835725,5086.6680352672,530.0000000000,80.0000000001,-80.0000000000
31840,4929.0199984274,5106.5919292290,530.0000000000,100.0000000000,-80.0000000000
31841,4930.7631132824,5126.5158231908,530.0000000000,120.0000000000,-80.0000000000
31842,4932.5062281373,5146.4397171527,530.0000000000,140.0000000000,-80.0000000000
31843,4934.2493429923,5166.3636111145,530.0000000000,160.0000000000,-80.0000000000
31844,4935.9924578472,5186.2875050763,530.0000000000,180.0000000000,-80.0000000000
31845,4937.7355727022,5206.2113990382,530.0000000000,200.0000000000,-80.0000000000
31846,4939.4786875571,5226.1352930000,530.0000000000,220.0000000000,-80.0000000000
31847,4941.2218024121,5246.0591869618,530.0000000000,240.0000000000,-80.0000000000
31848,4942.9649172671,5265.9830809237,530.0000000000,260.0000000000,-80.0000000000
31849,4944.7080321220,5285.9069748855,530.0000000000,280.0000000000,-80.0000000000
31878,4915.8247101452,4726.2948290992,530.0000000000,-280.0000000000,-60.0000000000
31879,4917.5678250001,4746.2187230610,530.0000000000,-260.0000000000,-60.0000000000
31880,4919.3109398551,4766.1426170228,530.0000000000,-240.0000000000,-60.0000000000
31881,4921.0540547100,4786.0665109847,530.0000000000,-220.0000000000,-60.0000000000
31882,4922.7971695650,4805.9904049465,530.0000000000,-200.0000000000,-60.0000000000
31883,4924.5402844199,4825.9142989083,530.0000000000,-180.0000000000,-60.0000000000
31884,4926.2833992749,4845.8381928702,530.0000000000,-160.0000000000,-60.0000000000
31885,4928.0265141298,4865.7620868320,530.0000000000,-140.0000000000,-60.0000000000
31886,4929.7696289848,4885.6859807938,530.0000000000,-120.0000000000,-60.0000000000
31887,4931.5127438397,4905.6098747557,530.0000000000,-100.0000000000,-60.0000000000
31888,4933.2558586947,4925.5337687175,530.0000000000,-80.0000000000,-60.0000000000
31889,4934.9989735496,4945.4576626794,530.0000000000,-60.0000000000,-60.0000000000
31890,4936.7420884046,4965.3815566412,530.0000000000,-40.0000000000,-60.0000000000
31891,4938.4852032595,4985.3054506030,530.0000000000,-20.0000000000,-60.0000000000
31892,4940.2283181145,5005.2293445649,530.0000000000,0.0000000000,-60.0000000000
31893,4941.9714329694,5025.1532385267,530.0000000000,20.0000000000,-60.0000000000
31894,4943.7145478244,5045.0771324885,530.0000000000,40.0000000000,-60.0000000000
31895,4945.4576626794,5065.0010264504,530.0000000000,60.0000000000,-60.0000000000
31896,4947.2007775343,5084.9249204122,530.0000000000,80.0000000000,-60.0000000000
31897,4948.9438923893,5104.8488143740,530.0000000000,100.0000000000,-60.0000000000
31898,4950.6870072442,5124.7727083359,530.0000000000,120.0000000000,-60.0000000000
31899,4952.4301220992,5144.6966022977,530.0000000000,140.0000000000,-60.0000000000
31900,4954.1732369541,5164.6204962595,530.0000000000,160.0000000000,-60.0000000000
31901,4955.9163518091,5184.5443902214,530.0000000000,180.0000000000,-60.0000000000
31902,4957.6594666640,5204.4682841832,530.0000000000,200.0000000000,-60.0000000000
31903,4959.4025815190,5224.3921781450,530.0000000000,220.0000000000,-60.0000000000
31904,4961.1456963739,5244.3160721069,530.0000000000,240.0000000000,-60.0000000000
31905,4962.8888112289,5264.2399660687,530.0000000000,260.0000000000,-60.0000000000
31906,4964.6319260838,5284.1638600305,530.0000000000,279.9999999999,-60.0000000000
31935,4935.7486041070,4724.5517142442,530.0000000000,-280.0000000000,-40.0000000000
31936,4937.4917189619,4744.4756082061,530.0000000000,-260.0000000000,-40.0000000000
31937,4939.2348338169,4764.3995021679,530.0000000000,-240.0000000000,-40.0000000000
31938,4940.9779486718,4784.3233961297,530.0000000000,-220.0000000000,-40.0000000000
31939,4942.7210635268,4804.2472900916,530.0000000000,-200.0000000000,-40.0000000000
31940,4944.4641783818,4824.1711840534,530.0000000000,-180.0000000000,-40.0000000000
31941,4946.2072932367,4844.0950780152,530.0000000000,-160.0000000000,-40.0000000000
31942,4947.9504080917,4864.0189719771,530.0000000000,-140.0000000000,-40.0000000000
31943,4949.6935229466,4883.9428659389,530.0000000000,-120.0000000000,-40.0000000000
31944,4951.4366378016,4903.8667599007,530.0000000000,-100.0000000000,-40.0000000000
31945,4953.1797526565,4923.7906538626,530.0000000000,-80.0000000000,-40.0000000000
31946,4954.9228675115,4943.7145478244,530.0000000000,-60.0000000000,-40.0000000000
31947,4956.6659823664,4963.6384417862,530.0000000000,-40.0000000000,-40.0000000000
31948,4958.4090972214,4983.5623357481,530.0000000000,-20.0000000000,-40.0000000000
31949,4960.1522120763,5003.4862297099,530.0000000000,-0.0000000000,-40.0000000000
31950,4961.8953269313,5023.4101236717,530.0000000000,20.0000000000,-40.0000000000
31951,4963.6384417862,5043.3340176336,530.0000000000,40.0000000000,-40.0000000000
31952,4965.3815566412,5063.2579115954,530.0000000000,60.0000000000,-40.0000000000
31953,4967.1246714961,5083.1818055572,530.0000000000,80.0000000000,-40.0000000000
31954,4968.8677863511,5103.1056995191,530.0000000000,100.0000000000,-40.0000000000
31955,4970.6109012060,5123.0295934809,530.0000000000,120.0000000000,-40.0000000000
